Key,English,French
ChangePassword.box,Change your password,Modifier votre mot de passe
ChangePassword.box.Input.Input-old.Text Area,  Old password,  Ancien mot de passe
ChangePassword.box.Input.Input-new.Text Area,  New password,  Nouveau mot de passe
ChangePassword.box.Input.Input-new1.Text Area,  Confirm new password,  Confirmer le nouveau mot de passe
ChangePassword.box.Button-join,Change,Changer
ForgotPassword.box.Text-ResetPassword,Forgot password,Mot de passe oublié
ForgotPassword.box.Text (TMP),Enter your Email to receive a code :,Saisissez votre adresse e-mail pour recevoir un code :
ForgotPassword.box.Button-envoyer,Send,Envoyer
ChangePasswordEmail.box.Text-ResetPassword,Change your password,Modifier votre mot de passe
ChangePasswordEmail.box.Input.Input-code.Text Area,  Enter the code received by email,Saisir le code reçu par e-mail
ChangePasswordEmail.box.Input.Input-new.Text Area,  Enter your new password,Entrez votre nouveau mot de passe
ChangePasswordEmail.box.Input.Input-new1.Text Area, Confirm your new password,Confirmez votre nouveau mot de passe
ChangePasswordEmail.box.Button-change,Change,Changer
